Team,goals_scored,goals_conceded,draws,draw_goals_scored
France,13,2,0,0
Spain,8,0,1,0
Argentina,11,3,1,1
England,8,3,1,0
Portugal,8,2,2,1
Brazil,9,2,1,1
Netherlands,13,8,2,3
Morocco,13,6,2,2
Belgium,9,4,3,3
Germany,14,9,1,1
Croatia,6,7,0,0
Colombia,5,1,1,0
Senegal,10,9,1,2
Mexico,8,0,0,0
United States,10,4,0,0
Uruguay,3,4,2,3
Japan,8,5,2,3
Switzerland,9,3,1,1
Iran,3,3,3,3
Turkey,3,5,0,0
Ecuador,2,4,1,0
Austria,6,9,1,3
South Korea,2,3,0,0
Australia,5,7,2,1
Egypt,10,6,3,3
Algeria,5,9,1,3
Canada,9,6,1,1
Norway,10,8,0,0
Panama,0,4,0,0
Ivory Coast,5,4,0,0
Sweden,7,10,1,1
Paraguay,7,8,2,1
Czechia,2,6,1,1
Scotland,1,4,0,0
Tunisia,2,12,0,0
Congo DR,5,5,1,1
Uzbekistan,2,11,0,0
Qatar,2,10,1,1
Iraq,1,12,0,0
South Africa,2,4,1,1
Saudi Arabia,1,5,2,1
Jordan,3,8,0,0
Bosnia-Herzegovina,5,8,1,1
Cape Verde Island,0,0,0,0
Ghana,2,3,1,0
Curaçao,1,9,1,0
Haiti,2,8,0,0
New Zealand,4,10,1,2
