fixture_id,date,round,home_team_id,home_team,home_fifa_rank,away_team_id,away_team,away_fifa_rank,home_goals,away_goals,winner_90,winner_actual,rank_difference_earned,went_to_extra_time,went_to_penalties
855736,2022-11-20T16:00:00+00:00,Group Stage - 1,1569,Qatar,55,2382,Ecuador,23,0,2,Ecuador,Ecuador,0,False,False
855735,2022-11-21T13:00:00+00:00,Group Stage - 1,10,England,4,22,Iran,21,6,2,England,England,0,False,False
855734,2022-11-21T16:00:00+00:00,Group Stage - 1,13,Senegal,14,1118,Netherlands,7,0,2,Netherlands,Netherlands,0,False,False
866681,2022-11-21T19:00:00+00:00,Group Stage - 1,2384,USA,16,767,Wales,36,1,1,draw,draw,0,False,False
855737,2022-11-22T10:00:00+00:00,Group Stage - 1,26,Argentina,3,23,Saudi Arabia,61,1,2,Saudi Arabia,Saudi Arabia,58,False,False
855738,2022-11-22T13:00:00+00:00,Group Stage - 1,21,Denmark,20,28,Tunisia,44,0,0,draw,draw,0,False,False
855739,2022-11-22T16:00:00+00:00,Group Stage - 1,16,Mexico,15,24,Poland,35,0,0,draw,draw,0,False,False
871850,2022-11-22T19:00:00+00:00,Group Stage - 1,2,France,1,20,Australia,27,4,1,France,France,0,False,False
855740,2022-11-23T10:00:00+00:00,Group Stage - 1,31,Morocco,8,3,Croatia,11,0,0,draw,draw,0,False,False
855741,2022-11-23T13:00:00+00:00,Group Stage - 1,25,Germany,10,12,Japan,18,1,2,Japan,Japan,8,False,False
871851,2022-11-23T16:00:00+00:00,Group Stage - 1,9,Spain,2,29,Costa Rica,51,7,0,Spain,Spain,0,False,False
855742,2022-11-23T19:00:00+00:00,Group Stage - 1,1,Belgium,9,5529,Canada,30,1,0,Belgium,Belgium,0,False,False
855743,2022-11-24T10:00:00+00:00,Group Stage - 1,15,Switzerland,19,1530,Cameroon,45,1,0,Switzerland,Switzerland,0,False,False
855744,2022-11-24T13:00:00+00:00,Group Stage - 1,7,Uruguay,17,17,South Korea,25,0,0,draw,draw,0,False,False
855745,2022-11-24T16:00:00+00:00,Group Stage - 1,27,Portugal,5,1504,Ghana,74,3,2,Portugal,Portugal,0,False,False
855746,2022-11-24T19:00:00+00:00,Group Stage - 1,6,Brazil,6,14,Serbia,39,2,0,Brazil,Brazil,0,False,False
866682,2022-11-25T10:00:00+00:00,Group Stage - 2,767,Wales,36,22,Iran,21,0,2,Iran,Iran,0,False,False
855747,2022-11-25T13:00:00+00:00,Group Stage - 2,1569,Qatar,55,13,Senegal,14,1,3,Senegal,Senegal,0,False,False
855748,2022-11-25T16:00:00+00:00,Group Stage - 2,1118,Netherlands,7,2382,Ecuador,23,1,1,draw,draw,0,False,False
855749,2022-11-25T19:00:00+00:00,Group Stage - 2,10,England,4,2384,USA,16,0,0,draw,draw,0,False,False
871852,2022-11-26T10:00:00+00:00,Group Stage - 2,28,Tunisia,44,20,Australia,27,0,1,Australia,Australia,0,False,False
855750,2022-11-26T13:00:00+00:00,Group Stage - 2,24,Poland,35,23,Saudi Arabia,61,2,0,Poland,Poland,0,False,False
855751,2022-11-26T16:00:00+00:00,Group Stage - 2,2,France,1,21,Denmark,20,2,1,France,France,0,False,False
855752,2022-11-26T19:00:00+00:00,Group Stage - 2,26,Argentina,3,16,Mexico,15,2,0,Argentina,Argentina,0,False,False
871853,2022-11-27T10:00:00+00:00,Group Stage - 2,12,Japan,18,29,Costa Rica,51,0,1,Costa Rica,Costa Rica,33,False,False
855753,2022-11-27T13:00:00+00:00,Group Stage - 2,1,Belgium,9,31,Morocco,8,0,2,Morocco,Morocco,0,False,False
855754,2022-11-27T16:00:00+00:00,Group Stage - 2,3,Croatia,11,5529,Canada,30,4,1,Croatia,Croatia,0,False,False
855755,2022-11-27T19:00:00+00:00,Group Stage - 2,9,Spain,2,25,Germany,10,1,1,draw,draw,0,False,False
855756,2022-11-28T10:00:00+00:00,Group Stage - 2,1530,Cameroon,45,14,Serbia,39,3,3,draw,draw,0,False,False
855757,2022-11-28T13:00:00+00:00,Group Stage - 2,17,South Korea,25,1504,Ghana,74,2,3,Ghana,Ghana,49,False,False
855758,2022-11-28T16:00:00+00:00,Group Stage - 2,6,Brazil,6,15,Switzerland,19,1,0,Brazil,Brazil,0,False,False
855759,2022-11-28T19:00:00+00:00,Group Stage - 2,27,Portugal,5,7,Uruguay,17,2,0,Portugal,Portugal,0,False,False
855760,2022-11-29T15:00:00+00:00,Group Stage - 3,1118,Netherlands,7,1569,Qatar,55,2,0,Netherlands,Netherlands,0,False,False
855761,2022-11-29T15:00:00+00:00,Group Stage - 3,2382,Ecuador,23,13,Senegal,14,1,2,Senegal,Senegal,0,False,False
855762,2022-11-29T19:00:00+00:00,Group Stage - 3,22,Iran,21,2384,USA,16,0,1,USA,USA,0,False,False
866683,2022-11-29T19:00:00+00:00,Group Stage - 3,767,Wales,36,10,England,4,0,3,England,England,0,False,False
871854,2022-11-30T15:00:00+00:00,Group Stage - 3,20,Australia,27,21,Denmark,20,1,0,Australia,Australia,7,False,False
855763,2022-11-30T15:00:00+00:00,Group Stage - 3,28,Tunisia,44,2,France,1,1,0,Tunisia,Tunisia,43,False,False
