,team_name,played,wins,draws,goals_scored,goals_conceded,goal_difference
2,France,7,5,1,16,8,8
26,Argentina,7,4,2,15,8,7
10,England,5,3,1,13,4,9
27,Portugal,5,3,0,12,6,6
1118,Netherlands,5,3,2,10,4,6
6,Brazil,5,3,1,8,3,5
31,Morocco,7,3,2,6,5,1
3,Croatia,7,2,4,8,7,1
12,Japan,4,2,1,5,4,1
13,Senegal,4,2,0,5,7,-2
20,Australia,4,2,0,4,6,-2
15,Switzerland,4,2,0,5,9,-4
9,Spain,4,1,2,9,3,6
25,Germany,3,1,1,6,5,1
2382,Ecuador,3,1,1,4,3,1
7,Uruguay,3,1,1,2,2,0
28,Tunisia,3,1,1,1,1,0
1530,Cameroon,3,1,1,4,4,0
1,Belgium,3,1,1,1,2,-1
16,Mexico,3,1,1,2,3,-1
2384,USA,4,1,2,3,4,-1
23,Saudi Arabia,3,1,0,3,5,-2
24,Poland,4,1,1,3,5,-2
1504,Ghana,3,1,0,5,7,-2
17,South Korea,4,1,1,5,8,-3
22,Iran,3,1,0,4,7,-3
29,Costa Rica,3,1,0,3,11,-8
21,Denmark,3,0,1,1,3,-2
14,Serbia,3,0,1,5,8,-3
767,Wales,3,0,1,1,6,-5
5529,Canada,3,0,0,2,7,-5
1569,Qatar,3,0,0,1,7,-6
